Wind measures in the laborator coordinates at Time 15:51:48 Date 07/04/07
Analog inputs =  3
NOT A NUMBER = 99.99
number of rows = 302400

  7.05   3.56   0.59 345.46   137    1  429
  6.54   3.22   0.78 345.54   138    1   29
  5.09   1.76   1.49 345.48   138    1   29
  5.22   1.64   1.50 345.50   141    1  630
  5.22   2.33   1.17 345.48   137    1  630
  4.96   3.45   0.25 345.58   137    0  930
  4.52   2.29   0.94 345.50   139    1  230
  3.73   1.86   1.19 345.56   139    1  230
  2.73   1.20   1.51 345.68   141    1  230
  1.54   0.64   1.55 345.64   141    1  230
  1.99   0.44   1.47 345.64   138    1  431
  2.29   0.54   1.93 345.64   138    1  431
  2.12   0.95   1.35 345.64   138    1  231
  1.94   0.54   1.23 345.60   139    1  431
  2.73   1.13   0.32 345.62   139    1  431
  2.09   0.33   0.76 345.62   137    1  431
  3.04   0.61   0.95 345.70   137    1  431
  2.78   0.37   1.58 345.72   136    1   31
  2.57   1.31   0.43 345.60   136    1   31
  2.17   0.49   0.82 345.52   136    0  931
  1.89   0.58   0.70 345.52   138    1   31
  2.38   1.63   1.03 345.62   138    1   31
  3.96   2.60   0.63 345.50   138    1  231
  4.47   2.54   0.18 345.40   138    1  231
  4.89   3.16   0.37 345.48   141    1  231
  4.96   3.46   0.13 345.54   137    1  231
  5.11   3.66   0.09 345.62   137    1  231
  4.69   3.66   0.12 345.58   136    1   31
  3.99   3.70   0.43 345.72   136    1   31
  4.39   3.12   0.69 345.60   138    1  231
  3.66   1.12   1.58 345.64   138    1  231
  4.01   1.05   1.13 345.58   138    1  231
  3.38   2.06  -0.07 345.62   136    1  231
  3.68   1.42  -0.35 345.72   136    1  631
  4.48   0.46   0.38 345.72   139    1  431
  4.05   0.20   0.17 345.68   139    1  431
  4.45   0.53  -0.47 345.80   136    1  231
  5.07   0.73  -0.69 345.84   136    1  231
  4.07   0.61  -0.50 345.98   137    1  431
  3.81   0.26   0.09 345.86   136    1  431
  4.19   0.56   0.27 345.78   136    1  431
  4.78   0.97  -0.59 346.14   132    1  231
  5.11   1.01  -0.51 346.10   132    1  231
  5.01   1.34  -0.44 345.92   132    1  431
  5.57   1.11   0.35 345.94   132    1  431
  5.16   1.76  -0.21 346.02   130    1  231
  4.85   2.66  -0.51 345.66   137    1  231
  5.46   3.29  -1.13 345.68   137    1  231
  7.12   3.18  -0.65 345.60   138    1  431
  6.44   2.29  -0.15 345.64   138    1  430
  6.86   3.20  -0.48 345.60   138    1   30
  6.34   3.21  -1.43 345.66   138    1   30
  5.18   2.79  -1.84 345.74   136    1  230
  5.45   3.20  -2.09 345.54   138    1  230
  5.64   4.08  -2.03 345.72   138    1  631
  6.44   3.45  -0.93 345.74   137    1  631
  7.72   3.67  -1.03 345.64   137    1  631
  7.73   3.16  -0.61 345.60   134    1  431
  7.96   2.21  -0.24 345.62   134    1  431
  8.17   2.59  -0.51 345.64   136    1  831
  7.75   2.70  -0.33 345.70   137    1  831
  6.36   2.79  -0.74 345.66   137    1  430
  6.67   3.46  -1.28 345.62   136    1  430
  6.74   3.14  -1.13 345.64   136    1  430
  5.83   3.08  -1.22 345.52   137    1  430
  5.83   4.29  -0.71 345.56   137    1  430
  6.14   4.65  -1.02 345.54   136    1  230
  5.74   4.43  -0.48 345.62   138    1  230
  4.53   4.72  -1.00 345.54   138    1  430
  5.31   4.84  -0.77 345.50   136    1  230
  5.21   4.67  -1.18 345.50   136    1  230
  5.33   4.16  -1.29 345.46   141    1  630
  5.32   3.84  -0.92 345.50   141    1  630
  5.90   3.49  -0.37 345.46   139    1  430
  5.81   3.69  -0.83 345.56   141    1  430
  5.43   3.46  -0.91 345.52   141    1  430
  5.49   4.46  -1.93 345.52   139    1  230
  5.21   3.29  -0.96 345.56   139    1  230
  5.46   4.18  -1.55 345.54   138    1   30
  6.17   3.85  -0.47 345.58   138    1   30
  6.33   5.01  -1.11 345.58   134    1   30
  6.46   4.84  -0.94 345.52   134    1   30
  6.20   4.83  -0.77 345.46   134    1  830
  6.68   4.90  -0.71 345.56   139    1  230
  6.83   4.98  -0.79 345.46   139    1  230
  6.61   4.65  -0.68 345.56   139    1  430
  6.08   4.48  -0.17 345.52   139    1  430
  6.50   5.02  -0.29 345.68   136    1  230
  6.03   4.41   0.45 345.52   138    1  230
  4.96   3.76   1.01 345.62   138    1  230
  5.25   4.93  -0.18 345.58   137    1  630
  5.52   5.16  -0.16 345.56   137    1  630
  5.69   4.69  -0.23 345.52   141    1  430
  5.81   3.91   0.48 345.54   141    1  430
  5.91   4.19   0.29 345.52   141    1  430
  6.18   4.78  -0.44 345.52   141    1  430
  5.60   4.63  -0.01 345.48   141    1  430
  6.07   5.16   0.12 345.58   141    1  430
  6.81   5.04  -0.01 345.46   141    1  430
  6.03   5.60  -0.23 345.46   134    1  230
  5.53   5.14   0.10 345.48   134    1  230
  5.82   4.73  -0.17 345.48   138    1   30
  5.74   5.22  -0.81 345.50   138    1   30
  6.06   5.33  -0.48 345.46   138    1  630
  5.75   4.99  -0.03 345.42   141    1  430
  6.26   4.66  -0.16 345.54   141    1  430
  6.21   4.26  -0.02 345.54   136    1  430
  4.11   3.44   0.43 345.62   136    1  430
  4.57   2.33   1.05 345.46   134    1   29
  1.91   1.68   1.29 345.52   136    1   29
  0.56   1.54   0.89 345.58   136    1  429
  1.45   2.30  -0.11 345.54   141    1  229
  1.96   2.44  -0.02 345.54   141    1  228
  2.17   2.50   0.05 345.56   141    1  428
  2.04   2.32   0.16 345.64   141    1  428
  3.87   2.87   0.30 345.54   139    1  227
  4.56   3.79   0.16 345.58   138    1  227
  5.17   3.57   0.37 345.54   138    1  427
  3.53   3.55   0.22 345.56   138    1  427
  3.52   4.50  -0.12 345.64   138    1  427
  3.87   3.62   0.40 345.68   136    1  227
  5.77   4.11   0.33 345.56   136    1  227
  6.27   3.82   0.28 345.44   137    1  427
  6.99   2.51   0.60 345.56   137    1  427
  7.24   3.25   0.31 345.44   137    1  627
  6.83   3.80   0.47 345.42   138    1  227
  6.74   3.42   0.34 345.52   138    1  229
  5.65   2.92  -0.37 345.56   138    1  829
  5.40   3.19  -0.92 345.52   138    1  829
  5.24   3.36  -1.29 345.62   137    1  230
  5.12   3.08  -0.70 345.60   139    1  230
  4.77   2.89  -0.68 345.58   139    1  230
  5.19   3.03  -0.64 345.52   138    1  430
  5.50   3.01  -0.52 345.52   138    1  429
  5.49   3.55  -1.35 345.62   139    1  230
  5.83   4.15  -1.81 345.66   139    1  230
  6.12   4.47  -1.88 345.48   139    1  229
  6.29   4.95  -2.09 345.38   138    1  229
  6.80   4.59  -2.06 345.56   138    1  230
  7.26   3.90  -1.13 345.62   139    1  630
  6.82   4.11  -1.16 345.60   139    1  630
  6.77   4.73  -0.83 345.42   139    1  630
  7.03   4.42  -0.21 345.46   139    1  630
  6.66   3.95  -0.51 345.40   139    1  630
  6.72   3.32  -0.83 345.58   137    1  630
  7.06   2.76   0.19 345.36   137    1  230
  6.76   3.36  -0.17 345.36   137    1  430
  7.37   3.82  -0.05 345.26   137    1  430
  6.99   4.46  -0.19 345.30   136    1  230
  7.10   5.02  -1.36 345.22   136    1  230
  7.47   4.82  -1.94 345.32   137    1  630
  6.83   4.99  -2.23 345.36   141    1  630
  6.81   5.03  -1.92 345.36   141    1  630
  5.97   5.58  -3.17 345.34   138    1  630
  5.29   5.81  -4.17 345.40   138    1  630
  5.08   5.16  -3.56 345.38   141    1  430
  5.20   5.11  -3.53 345.30   141    1  430
  5.29   5.10  -3.48 345.28   138    1  430
  5.09   4.61  -3.37 345.24   141    1  430
  5.54   4.55  -3.20 345.24   141    1  830
  5.70   3.98  -2.45 345.20   145    1  830
  5.20   4.57  -3.42 345.24   145    1  830
  4.77   4.16  -2.95 345.18   143    1  430
  4.18   4.01  -2.98 345.24   143    1  430
  4.04   3.86  -2.96 345.20   139    1  430
  3.47   3.65  -2.96 345.28   138    1  430
  3.54   3.53  -2.99 345.24   138    1  430
  4.00   3.78  -2.78 345.18   136    1  430
  3.86   3.34  -2.34 345.16   136    1  430
  3.44   3.73  -2.83 345.10   139    0  929
  3.38   3.73  -3.04 345.24   139    0  929
  2.95   3.64  -3.00 345.22   139    1  229
  2.93   3.47  -2.76 345.18   139    1  229
  3.09   2.75  -1.72 345.16   139    1  429
  3.32   2.19  -0.94 345.20   143    1  429
  3.11   1.88  -0.40 345.10   143    1  429
  3.32   1.94  -0.11 345.06   139    1  229
  3.91   2.12   0.04 345.08   139    1  229
  4.06   2.19   0.03 345.14   139    1  629
  4.35   2.24   0.01 345.06   143    1  629
  4.92   2.26   0.17 345.10   143    1  629
  4.41   2.52  -0.50 345.14   139    1  429
  5.75   2.85  -0.82 345.30   139    1  429
  5.82   2.75  -0.60 345.28   141    1  429
  6.20   2.45  -0.42 345.30   141    1  429
  5.76   2.58  -0.16 345.18   139    1  429
  5.28   2.57  -0.53 345.16   139    1  429
  4.74   2.54  -0.20 345.18   139    1  629
  5.62   2.82   0.02 345.22   139    1  429
  6.15   3.84  -0.12 345.16   139    1  429
  5.99   4.58  -0.68 345.22   138    1   29
  5.58   4.63  -0.86 345.24   138    1   29
  6.04   4.79  -0.98 345.18   136    0  929
  5.47   5.26  -1.10 345.24   134    0  929
  5.68   5.15  -0.87 345.38   134    1  429
  6.05   4.77  -0.63 345.30   143    1  829
  5.82   4.35  -0.26 345.20   143    1  829
  5.56   4.14  -0.22 345.36   141    1  429
  5.59   3.80  -0.09 345.16   141    1  429
  5.39   4.09  -0.33 345.28   139    1  229
  4.91   4.25  -0.28 345.24   139    1  229
  4.58   3.78  -0.37 345.14   139    1  629
  4.13   3.41  -0.22 345.16   139    1  829
  3.83   4.05  -0.20 345.34   139    1  829
  3.85   4.04  -0.53 345.38   139    1   29
  3.27   4.34  -0.74 345.38   139    1   29
  4.25   4.11  -0.59 345.32   143    1  629
  2.21   4.07  -0.75 345.38   143    1  629
  2.44   3.41  -0.61 345.34   143    1  429
  3.48   3.53  -0.73 345.20   139    1  429
  3.98   3.53  -0.90 345.20   139    1  429
  4.32   2.85  -0.60 345.24   136    1  229
  4.00   2.67  -0.66 345.26   136    1  229
  4.17   2.67  -0.90 345.30   138    1  229
  3.96   2.47  -0.63 345.32   141    1  229
  3.46   2.41  -0.55 345.22   141    1  429
  3.51   2.79  -0.82 345.14   141    1  229
  3.16   2.76  -1.19 345.18   141    1  229
  3.52   3.02  -1.32 345.22   139    1  629
  3.45   2.74  -1.24 345.20   139    1  629
  3.06   2.24  -0.77 345.30   143    1  429
  3.07   2.51  -1.21 345.28   141    1  429
  2.63   2.41  -0.32 345.26   141    0  729
  2.99   2.86  -0.52 345.24   138    1  229
  3.05   3.31  -0.90 345.28   138    1  229
  3.31   3.17  -0.48 345.38   143    1  629
  3.16   3.27  -0.57 345.30   143    1  629
  2.64   3.51  -1.07 345.30   139    1  429
  2.38   3.66  -1.29 345.24   138    1  429
  2.37   3.18  -0.75 345.24   138    1   29
  3.04   2.74  -0.53 345.18   139    1  629
  3.21   2.78  -0.31 345.22   139    1  629
  3.65   3.05  -0.52 345.14   139    1   29
  3.69   2.98  -0.33 345.16   139    1   29
  3.77   3.30  -0.71 345.18   139    1  229
  3.19   3.51  -0.67 345.30   139    1  229
  3.55   3.41  -0.75 345.24   139    1  829
  4.36   3.76  -0.74 345.24   136    1   29
  4.85   3.95  -0.65 345.30   136    1   29
  5.34   3.67  -0.58 345.22   143    1  429
  5.35   3.72  -0.56 345.28   143    1  429
  5.67   3.90  -0.51 345.36   143    1  629
  5.14   3.98  -0.81 345.22   141    1  629
  4.54   3.52  -0.49 345.18   141    1  229
  5.00   4.03  -0.92 345.22   138    1  429
  4.81   4.55  -1.24 345.24   138    1  429
  5.00   4.36  -0.75 345.20   139    1   29
  5.41   4.26  -0.60 345.28   139    1   29
  5.65   4.21  -0.64 345.24   141    1  629
  5.73   4.41  -0.82 345.14   139    1  629
  5.64   4.12  -0.38 345.12   139    1  429
  5.19   3.95  -0.24 345.10   139    1  629
  5.37   3.97  -0.59 345.14   139    1  629
  5.37   3.57  -0.49 345.04   139    1  229
  5.41   3.42  -0.36 345.10   139    1  229
  5.48   3.55  -0.40 345.22   138    1   29
  5.55   3.11   0.00 345.24   138    1   29
  5.60   3.53  -0.51 345.16   138    1  429
  5.68   3.83  -0.52 345.24   141    1  429
  5.73   4.07  -0.63 345.26   141    1  429
  5.63   3.72  -0.45 345.36   141    1  629
  5.72   3.74  -0.58 345.44   141    1  629
  5.24   3.74  -1.07 345.36   143    1  629
  5.20   4.60  -0.92 345.40   139    1  629
  5.52   4.66  -0.69 345.48   139    1  429
  5.33   4.23   0.12 345.56   139    1  229
  5.56   4.39  -0.32 345.56   139    1  229
  5.28   4.30  -0.25 345.50   139    1  229
  5.02   3.06   0.40 345.34   139    1  229
  4.94   3.23   0.48 345.50   138    1   29
  5.38   3.18   0.25 345.38   136    1   29
  5.74   3.39  -0.02 345.42   136    1  429
  5.40   3.70  -0.26 345.50   139    1  429
  5.50   3.60  -0.65 345.44   139    1  429
  4.98   3.25  -0.58 345.40   139    1  229
  5.12   3.62  -0.76 345.40   139    1  229
  5.51   3.42  -0.47 345.46   136    1   29
  5.55   3.15  -0.23 345.40   134    1   29
  5.14   3.57  -0.09 345.46   134    1  429
  5.27   3.00   0.12 345.36   139    1  429
  5.24   2.57   0.03 345.36   139    1  429
  4.33   2.45  -0.23 345.32   143    1  429
  4.01   2.18   0.06 345.38   143    1  429
  4.53   2.60   0.09 345.38   139    1  629
  4.53   3.57  -0.59 345.56   143    1  629
  4.60   3.40  -0.65 345.52   143    1  229
  5.08   3.99  -1.09 345.48   137    1  829
  4.26   4.45  -0.94 345.54   137    1  829
  4.97   3.57   0.13 345.50   137    1  429
  5.61   4.21  -0.41 345.56   137    1  429
  5.77   4.21  -0.78 345.50   136    1  629
  5.79   4.26  -0.52 345.50   141    1  629
  5.51   2.95   1.21 345.66   141    1  229
  5.41   3.09   0.85 345.54   137    1  429
  4.68   2.72   0.99 345.58   137    1  429
  5.08   2.33   1.12 345.52   136    1  229
  3.93   1.52   1.38 345.52   136    1  229
  2.30   1.93   0.88 345.68   136    1  229
  2.18   2.04   0.66 345.74   139    1  229
  2.71   2.23   0.55 345.72   139    1  429
  3.11   2.53   0.24 345.64   138    1  229
  3.34   2.76  -0.20 345.52   138    1  229
  2.90   2.93  -0.69 345.56   138    1  229
  2.19   2.92  -0.81 345.62   138    1  229
  2.84   2.64  -0.47 345.52   143   10  329
  2.03   2.14  -0.55 345.54   137   10  329
  0.97   1.73  -0.24 345.58   137   59   29
  1.46   2.21  -0.23 345.58   137   80  929
  1.05   2.44  -0.84 345.60   137   80  929
  1.53   2.32  -0.57 345.62   138   90  629
  1.48   1.60  -0.19 345.54   138   90  629
  1.66   0.68   0.41 345.54   139   95  629
  1.13   0.42   0.58 345.54   137   95  629
  1.61   0.69   0.55 345.52   137   97  329
  1.73   1.04   0.51 345.54   136   98  729
  1.51   1.02   0.84 345.62   136   98  729
  1.21   1.26   1.22 345.66   139   99  129
  1.54   1.76   0.72 345.66   139   99  129
  2.51   2.12  -0.00 345.58   139   99  529
